g, toanpham, staff

g, leader, staff
g, toanleader, leader

g, manager, leader
g, toanmanager, manager

g, rootuser, root

p, staff, /users/me, GET, allow
p, staff, /products/*, GET, allow
p, staff, /products/*/stocks/*, PATCH, allow
p, leader, /users/*, GET, allow
p, leader, /users/*/groups, GET, allow
p, leader, /products, GET, allow
p, leader, /products, POST, allow
p, leader, /products/*, PATCH, allow
p, leader, /products/*, DELETE, allow
p, manager, /users, POST, allow
p, manager, /reports/products, GET, allow
p, manager, /groups/*/users/*, POST, allow
p, manager, /groups/*/users/*, DELETE, allow
p, manager, /groups/*/users, GET, allow
p, manager, /groups/*/users, DELETE, allow
p, root, *, *, allow